int_len,prob_err,prob_err_est,se,st
46.0,0.9,0.998637855052948,0.5444444444444444,0.3806897342205048
93.0,0.875,0.998568058013916,0.5444444444444444,0.3806897342205048
140.0,0.8875,0.9984181523323059,0.5444444444444444,0.3806897342205048
186.0,0.85,0.9983096122741699,0.5444444444444444,0.3806897342205048
233.0,0.4875,0.3032759726047516,0.5444444444444444,0.3806897342205048
280.0,0.2375,0.1590290665626526,0.5444444444444444,0.3806897342205048
326.0,0.1375,0.1046830266714096,0.5444444444444444,0.3806897342205048
373.0,0.125,0.09323857724666595,0.45555555555555555,0.29506233864360387
420.0,0.0625,0.07915452867746353,0.2777777777777778,0.1642823702759213
467.0,0.075,0.08083570003509521,0.2111111111111111,0.1575368112987942
513.0,0.075,0.07290249317884445,0.17777777777777778,0.15041545099682277
560.0,0.0875,0.0686575397849083,0.17777777777777778,0.15041545099682277
607.0,0.1,0.08172119408845901,0.17777777777777778,0.15041545099682277
653.0,0.0875,0.08072205632925034,0.17777777777777778,0.15041545099682277
700.0,0.0875,0.08155432343482971,0.17777777777777778,0.15041545099682277
747.0,0.0875,0.08348914980888367,0.17777777777777778,0.15041545099682277
793.0,0.0625,0.08045969903469086,0.17777777777777778,0.15041545099682277
840.0,0.0625,0.08573268353939056,0.17777777777777778,0.15041545099682277
887.0,0.075,0.08380333334207535,0.17777777777777778,0.15041545099682277
934.0,0.1,0.08752429485321045,0.17777777777777778,0.15041545099682277
980.0,0.0875,0.08551015704870224,0.17777777777777778,0.15041545099682277
1027.0,0.075,0.08658621460199356,0.17777777777777778,0.15041545099682277
1074.0,0.075,0.08549550175666809,0.17777777777777778,0.15041545099682277
1120.0,0.075,0.08855284750461578,0.17777777777777778,0.15041545099682277
1167.0,0.0625,0.08833774924278259,0.17777777777777778,0.15041545099682277
1214.0,0.0625,0.0870925560593605,0.17777777777777778,0.15041545099682277
1260.0,0.0625,0.08715713769197464,0.17777777777777778,0.15041545099682277
1307.0,0.0625,0.08710163831710815,0.17777777777777778,0.15041545099682277
1354.0,0.0625,0.08724026381969452,0.17777777777777778,0.15041545099682277
1401.0,0.0625,0.08721446990966797,0.17777777777777778,0.15041545099682277
