int_len,prob_err,prob_err_est,se,st
38.0,1.0,0.9980570077896118,0.95,0.7617003381252289
77.0,0.9,0.9979767799377441,0.95,0.7617003381252289
116.0,1.0,0.9982441663742065,0.95,0.7617003381252289
155.0,0.9,0.9979730844497681,0.95,0.7617003381252289
194.0,1.0,0.9980533719062805,0.95,0.7617003381252289
233.0,0.9,0.5234006643295288,0.95,0.7617003381252289
272.0,0.8,0.4577024579048157,0.95,0.7617003381252289
310.0,0.9,0.39052820205688477,0.95,0.7617003381252289
349.0,0.8,0.5358679890632629,0.95,0.7617003381252289
388.0,0.6,0.42096489667892456,0.95,0.7617003381252289
427.0,0.6,0.3137516975402832,0.95,0.7617003381252289
466.0,0.6,0.3016374707221985,0.95,0.7617003381252289
505.0,0.5,0.35407793521881104,0.95,0.7617003381252289
544.0,0.6,0.38957077264785767,0.95,0.7617003381252289
583.0,0.6,0.29664307832717896,0.95,0.7617003381252289
621.0,0.4,0.3473150432109833,0.95,0.7617003381252289
660.0,0.5,0.2982875406742096,0.95,0.7617003381252289
699.0,0.3,0.2483428716659546,0.95,0.7617003381252289
738.0,0.4,0.2347075194120407,0.9,0.658660763502121
777.0,0.4,0.23338182270526886,0.95,0.6310038655996323
816.0,0.4,0.23009571433067322,0.75,0.5720364481210709
855.0,0.4,0.23034358024597168,0.75,0.5720364481210709
893.0,0.4,0.22935247421264648,0.7,0.5702469974756241
932.0,0.3,0.1800418198108673,0.7,0.5702469974756241
971.0,0.3,0.17791405320167542,0.7,0.5802981436252594
1010.0,0.3,0.17671722173690796,0.7,0.5802981436252594
1049.0,0.3,0.1936836689710617,0.7,0.5802981436252594
1088.0,0.3,0.19390328228473663,0.7,0.5802981436252594
1127.0,0.3,0.19541218876838684,0.7,0.5802981436252594
1166.0,0.3,0.19627311825752258,0.7,0.5802981436252594
