int_len,prob_err,prob_err_est,se,st
13.0,1.0,0.799232006072998,1.0,0.8996160000562667
27.0,0.9,0.7975212335586548,1.0,0.8996160000562667
41.0,1.0,0.8463780283927917,1.0,0.8996160000562667
54.0,0.9,0.8624628186225891,1.0,0.8996160000562667
68.0,0.9,0.8466850519180298,1.0,0.8996160000562667
82.0,0.9,0.8706920742988586,1.0,0.8996160000562667
96.0,0.9,0.8653126955032349,1.0,0.8996160000562667
109.0,0.9,0.857600212097168,1.0,0.8996160000562667
123.0,0.9,0.861345112323761,1.0,0.8996160000562667
137.0,0.9,0.864753246307373,1.0,0.8996160000562667
151.0,0.9,0.8656862378120422,1.0,0.8996160000562667
164.0,0.9,0.865561306476593,1.0,0.8996160000562667
178.0,0.9,0.866507887840271,1.0,0.8996160000562667
192.0,0.9,0.8681415319442749,1.0,0.8996160000562667
206.0,0.9,0.8688278198242188,1.0,0.8996160000562667
219.0,0.9,0.8698237538337708,1.0,0.8996160000562667
233.0,0.9,0.8700512647628784,1.0,0.8996160000562667
247.0,0.9,0.8697975277900696,1.0,0.8996160000562667
260.0,0.9,0.8709264993667603,1.0,0.8996160000562667
274.0,0.9,0.8712266683578491,1.0,0.8996160000562667
288.0,0.9,0.8718756437301636,1.0,0.8996160000562667
302.0,0.9,0.8718003034591675,1.0,0.8996160000562667
315.0,0.9,0.8725129961967468,0.95,0.9368928849697113
329.0,0.9,0.8723719716072083,0.95,0.9368928849697113
343.0,0.9,0.8734228014945984,0.95,0.9368928849697113
357.0,0.9,0.8739978075027466,0.95,0.9368928849697113
370.0,0.9,0.8738086819648743,0.95,0.9368928849697113
384.0,0.9,0.874585747718811,0.95,0.9368928849697113
398.0,0.9,0.8739105463027954,0.95,0.9368928849697113
412.0,0.9,0.8737857937812805,0.95,0.9368928849697113
