int_len,prob_err,prob_err_est,se,st
41.0,0.9629629629629629,0.9985318779945374,0.8918918918918919,0.6099170398067784
83.0,0.9629629629629629,0.9984734654426575,0.8918918918918919,0.6099170398067784
124.0,0.8518518518518519,0.9986305236816406,0.8918918918918919,0.6099170398067784
166.0,0.8148148148148148,0.9984369874000549,0.8918918918918919,0.6099170398067784
207.0,0.8518518518518519,0.46544191241264343,0.8918918918918919,0.6099170398067784
249.0,0.48148148148148145,0.23264913260936737,0.8918918918918919,0.6099170398067784
290.0,0.3333333333333333,0.19007395207881927,0.8918918918918919,0.6099170398067784
332.0,0.25925925925925924,0.18227098882198334,0.8918918918918919,0.6099170398067784
373.0,0.25925925925925924,0.12432991713285446,0.8918918918918919,0.6099170398067784
415.0,0.25925925925925924,0.10242990404367447,0.8918918918918919,0.6099170398067784
456.0,0.25925925925925924,0.10032249987125397,0.8918918918918919,0.6099170398067784
498.0,0.18518518518518517,0.12041319906711578,0.7837837837837838,0.4749076092565382
539.0,0.2222222222222222,0.13518711924552917,0.5405405405405406,0.3238919232342694
581.0,0.25925925925925924,0.12826471030712128,0.4594594594594595,0.308410915168556
622.0,0.25925925925925924,0.13783816993236542,0.40540540540540543,0.30052693309010686
664.0,0.25925925925925924,0.12131429463624954,0.40540540540540543,0.30052693309010686
705.0,0.25925925925925924,0.11353875696659088,0.40540540540540543,0.30052693309010686
747.0,0.25925925925925924,0.1170252189040184,0.40540540540540543,0.30052693309010686
788.0,0.25925925925925924,0.11746670305728912,0.40540540540540543,0.30052693309010686
830.0,0.25925925925925924,0.11787261068820953,0.40540540540540543,0.30052693309010686
871.0,0.25925925925925924,0.11998870968818665,0.40540540540540543,0.30052693309010686
913.0,0.25925925925925924,0.11993231624364853,0.40540540540540543,0.30052693309010686
954.0,0.25925925925925924,0.12047594785690308,0.40540540540540543,0.30052693309010686
996.0,0.25925925925925924,0.12272720783948898,0.40540540540540543,0.30052693309010686
1037.0,0.25925925925925924,0.1253526359796524,0.40540540540540543,0.30052693309010686
1079.0,0.25925925925925924,0.13075688481330872,0.40540540540540543,0.30052693309010686
1120.0,0.25925925925925924,0.143224835395813,0.40540540540540543,0.30052693309010686
1162.0,0.2222222222222222,0.14018848538398743,0.40540540540540543,0.30052693309010686
1203.0,0.2222222222222222,0.13562041521072388,0.40540540540540543,0.30052693309010686
1245.0,0.2222222222222222,0.13593491911888123,0.40540540540540543,0.30052693309010686
