int_len,prob_err,prob_err_est,se,st
41.0,0.95,0.9980167150497437,0.9666666666666667,0.8007336795330048
82.0,0.95,0.9981085658073425,0.9666666666666667,0.8007336795330048
123.0,1.0,0.9980176687240601,0.9666666666666667,0.8007336795330048
165.0,1.0,0.9980490803718567,0.9666666666666667,0.8007336795330048
206.0,0.95,0.7011005282402039,0.9666666666666667,0.8007336795330048
247.0,0.9,0.4397518038749695,0.9666666666666667,0.8007336795330048
289.0,0.9,0.4247516989707947,0.9666666666666667,0.8007336795330048
330.0,0.6,0.39173591136932373,0.9666666666666667,0.8007336795330048
371.0,0.5,0.35397714376449585,0.9666666666666667,0.8007336795330048
413.0,0.5,0.36590224504470825,0.9666666666666667,0.8007336795330048
454.0,0.5,0.3143780529499054,0.9666666666666667,0.8007336795330048
495.0,0.35,0.2858293652534485,0.9666666666666667,0.8007336795330048
536.0,0.35,0.24818721413612366,0.9666666666666667,0.8007336795330048
578.0,0.25,0.21717961132526398,0.9666666666666667,0.5676464438438416
619.0,0.3,0.2046968936920166,0.9,0.47295387188593546
660.0,0.3,0.18980808556079865,0.7666666666666667,0.4318334897359212
702.0,0.25,0.2028372585773468,0.7,0.43003643353780113
743.0,0.25,0.20311367511749268,0.7,0.43003643353780113
784.0,0.25,0.20253339409828186,0.6333333333333333,0.42818134228388466
826.0,0.25,0.19487488269805908,0.6333333333333333,0.42818134228388466
867.0,0.25,0.19402113556861877,0.6333333333333333,0.42818134228388466
908.0,0.25,0.18779465556144714,0.5666666666666667,0.4403563360373179
949.0,0.25,0.1834067553281784,0.5666666666666667,0.4403563360373179
991.0,0.25,0.17790551483631134,0.5666666666666667,0.4403563360373179
1032.0,0.25,0.18198618292808533,0.5666666666666667,0.4403563360373179
1073.0,0.25,0.18062791228294373,0.5666666666666667,0.4403563360373179
1115.0,0.25,0.18044616281986237,0.5666666666666667,0.4403563360373179
1156.0,0.25,0.18509043753147125,0.5666666666666667,0.4403563360373179
1197.0,0.25,0.18511559069156647,0.5666666666666667,0.4403563360373179
1239.0,0.25,0.18482740223407745,0.5666666666666667,0.4403563360373179
