int_len,prob_err,prob_err_est,se,st
25.0,0.9615384615384616,0.5939367413520813,0.9722222222222222,0.7067320744196574
50.0,0.8076923076923077,0.5789900422096252,0.9722222222222222,0.7067320744196574
75.0,0.6153846153846154,0.5280192494392395,0.9722222222222222,0.7067320744196574
100.0,0.5769230769230769,0.4314936399459839,0.9722222222222222,0.7067320744196574
126.0,0.38461538461538464,0.38991987705230713,0.9722222222222222,0.7067320744196574
151.0,0.3076923076923077,0.27968108654022217,0.9722222222222222,0.7067320744196574
176.0,0.15384615384615385,0.23526634275913239,0.9722222222222222,0.7067320744196574
201.0,0.23076923076923078,0.1924174726009369,0.9722222222222222,0.7067320744196574
226.0,0.19230769230769232,0.17243459820747375,0.9722222222222222,0.7067320744196574
252.0,0.11538461538461539,0.1702691912651062,0.8611111111111112,0.6386765324407153
277.0,0.038461538461538464,0.13458532094955444,0.6111111111111112,0.4832740177710851
302.0,0.038461538461538464,0.1091495081782341,0.5277777777777778,0.43601354128784603
327.0,0.038461538461538464,0.08342579752206802,0.3888888888888889,0.369600299331877
352.0,0.07692307692307693,0.07673300057649612,0.3888888888888889,0.33243486450778115
378.0,0.0,0.06643223017454147,0.3888888888888889,0.33243486450778115
403.0,0.0,0.049253519624471664,0.2777777777777778,0.3041537404060364
428.0,0.0,0.06033283472061157,0.2777777777777778,0.3041537404060364
453.0,0.0,0.06358892470598221,0.2777777777777778,0.3041537404060364
478.0,0.0,0.04408739134669304,0.2777777777777778,0.3041537404060364
504.0,0.0,0.03703205659985542,0.2777777777777778,0.3041537404060364
529.0,0.0,0.03436046466231346,0.2777777777777778,0.3041537404060364
554.0,0.0,0.05283190310001373,0.2777777777777778,0.3041537404060364
579.0,0.0,0.040496826171875,0.2777777777777778,0.3041537404060364
604.0,0.0,0.033141154795885086,0.2777777777777778,0.3041537404060364
630.0,0.0,0.03330126032233238,0.2777777777777778,0.3041537404060364
655.0,0.038461538461538464,0.03248048201203346,0.2777777777777778,0.3041537404060364
680.0,0.038461538461538464,0.030986549332737923,0.2777777777777778,0.3041537404060364
705.0,0.038461538461538464,0.03527546301484108,0.2777777777777778,0.3041537404060364
730.0,0.0,0.03578077256679535,0.2777777777777778,0.3041537404060364
756.0,0.0,0.03527839109301567,0.2777777777777778,0.3041537404060364
